0:0:0:0:0:0:0:1 - - [20/Jul/2012:17:08:23 +0530] "GET /Day01/time.jsp HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [20/Jul/2012:17:08:23 +0530] "GET /Day01/time.jsp HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [20/Jul/2012:17:08:25 +0530] "GET /Day01/time.jsp HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [20/Jul/2012:17:08:26 +0530] "GET /Day01/time.jsp HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [20/Jul/2012:17:08:26 +0530] "GET /Day01/time.jsp HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [20/Jul/2012:17:08:28 +0530] "GET /Day01/time.jsp HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [20/Jul/2012:17:08:28 +0530] "GET /Day01/time.jsp HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [20/Jul/2012:17:08:30 +0530] "GET /Day01/time.jsp HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [20/Jul/2012:17:08:30 +0530] "GET /Day01/time.jsp HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [20/Jul/2012:17:08:32 +0530] "GET /Day01/time.jsp HTTP/1.1" 200 30
